job_id,job_description
26,"### **Summary**

Mondrian Alpha is seeking an Experienced Software Engineer to join their team in New York, NY. The role involves developing and implementing algorithmic trading strategies based on patterns in market data.

### **About the Role**

As an Experienced Software Engineer, you will be responsible for architecting the trading platform, designing and implementing a high-frequency trading platform, optimizing the platform to minimize latency, and building risk-management and performance-tracking tools.

### **About You**

**Required:**

- 3+ years of experience in a similar role.
- Degree in computer science or a related field.
- Strong knowledge of C++ as well as Java, Python, Perl, Bash or Shell scripts.
- Working knowledge of Linux.
- Ability to work efficiently in a fast-paced environment.

**Preferred:**

- Experience in network and systems programming.
- Familiarity with algorithmic trading strategies.

### **Benefits**

- Base salary range between \$120k–\$285k, plus a possible discretionary bonus.
- Exceptional work environment including free daily breakfast, lunch, and snacks.
- Comprehensive pension, medical and dental insurance.
- Reimbursement for health and wellness expenses."
27,"### **Summary**

Aurora Innovation is seeking a Software Engineering Lead - Autonomy Data to join their team in Mountain View, CA. The role involves designing and developing production-ready software solutions to support high-volume data labeling operations and contributing to innovative ML Ops solutions.

### **About the Role**

As a Software Engineering Lead - Autonomy Data, you will be responsible for:
- Designing and developing production-ready software solutions for data labeling operations.
- Collaborating with cross-functional teams to drive project delivery.
- Applying ML Ops best practices to improve data coverage and quality.
- Contributing to the development of innovative ML Ops solutions.

### **About You**

**Required:**
- BS / MS / PhD degree in Computer Science or a related field.
- Expertise with production backend services (Cloud, Kubernetes, DevOps).
- Experience with C++ and Python.
- Strong software engineering skills and knowledge of ML Ops best practices.

**Preferred:**
- *No preferred qualifications listed.*

### **Benefits**

- Competitive salary range: \$144k–\$216k per year.
- Annual bonus potential.
- Equity compensation.
- Comprehensive benefits package, including medical, dental, and vision benefits.
- Opportunities for professional growth and development."
28,"### **Summary**

Toyon Research is seeking an AI-ML Software Engineer to join their team in Fort Collins, CO. The role involves developing software in Python or C++ for Artificial Intelligence (AI) and Machine Learning (ML) applications.

### **About the Role**

As an AI-ML Software Engineer, you will work closely with researchers and customers to create state-of-the-art solutions. You will be responsible for developing advanced AI/ML software to solve sensor data processing or control problems, utilizing your strong math and physics knowledge. Experience with Reinforcement Learning (RL) and collaborative environments with configuration management and version control tools is beneficial.

### **About You**

**Required:**

- U.S. Citizenship is Required.
- Ability to qualify for a US Department of Defense security clearance.
- Strong math and physics knowledge to develop advanced AI/ML software.

**Preferred:**

- Experience with Reinforcement Learning (RL) and other AI/ML techniques.
- Experience in image or signal processing.
- Experience working in a collaborative environment with configuration management and version control tools.

### **Benefits**

- Competitive Industry Pay.
- 100% Employer-Paid Medical Insurance Premium.
- HSA with Employer Contributions.
- Dental and Vision Coverage Options.
- Company Funded 401(k) and Profit Sharing Plans.
- Employee Stock Ownership Plan (ESOP).
- Life and Disability Insurance.
- Paid Parental Leave.
- Annual pay range: \$100k–\$180k."
29,"### **Summary**

Beacon AI is seeking a Staff Software Engineer, Autonomy & Robotics to join their team in San Carlos, CA. The role involves leading the development of robotic software and embedded systems for aviation environments, driving design, integration, testing, and deployment of software functionality in aircraft systems.

### **About the Role**

As a Staff Software Engineer, you will take ownership of critical product lines, collaborate with a distributed team to deliver advanced software features, write and maintain high-quality code, lead system integration, optimize performance by migrating Python code to C++, oversee testing and validation, mentor team members, troubleshoot complex issues, and champion agile software development practices.

### **About You**

**Required:**

- 6-10+ years of experience designing and deploying robotic software and/or embedded systems in dynamic, high-impact environments.
- Proven track record of working on components of robotic software stacks, such as perception, prediction, planning, or control modules.
- Deep expertise in Linux, RTOS, or middleware technologies like ROS and DDS.
- Experience developing software that adheres to aviation industry standards and safety-critical coding practices.
- Exceptional analytical skills and the ability to resolve complex technical challenges with innovative solutions.
- Strong interpersonal skills with the ability to lead, mentor, and collaborate effectively across multidisciplinary teams.
- Applicants must be authorized to work in the United States without the need for visa sponsorship now or in the future.

**Preferred:**

- Enthusiasm for advanced mobility and aviation technologies.
- Experience with self-driving mobility solutions, drone autopilot, motion planning, or related robotics challenges.
- Background in applying machine learning techniques to robotics or related fields.
- Familiarity with the Nvidia family of devices or similar platforms.
- Hands-on experience with embedded systems, sensors, and driver development.

### **Benefits**

- Comprehensive Healthcare Coverage: 80% of costs covered by the company for the employee and 25% for their dependents.
- Paid Time Off: 3 weeks of paid vacation, in addition to 14 company-paid holidays each year.
- Connectivity Stipend: Cell phone benefit to ensure you have the tools needed to excel in your role.
- Health and Wellness Allowance: Use towards a gym membership or subscription to a meditation app.
- Financial Planning: 401(k) program available."
30,"### **Summary**

Northrop Grumman is seeking a Principal / Sr. Principal Embedded Systems Software Expert to join their team in Linthicum Heights, MD. The role involves designing, developing, integrating, and testing software for Space payload units.

### **About the Role**

As a Principal/Sr. Principal Integration & Test Software Engineer, you will support the Space Systems, Payload and Ground Systems Division, Remote Sensing Programs (RSP) Business Unit. Your responsibilities will include:

- Designing, developing, integrating, and testing software that manages a Space payload unit ensuring compliance with established requirements.
- Working on an agile development team, primarily using C++, Python, and/or TCL.
- Utilizing automated tools such as Jenkins and Robot Framework to enable automated testing and verification of the Space System.

### **About You**

**Required:**

- Bachelor's degree in computer science, computer engineering, software engineering, or another STEM discipline with a minimum of 5+ years software development experience working on embedded real-time systems or 3+ years with a master's degree or 0 years with a Ph.D.
- Experience in developing in C++ and/or Python.
- Experience developing in a Linux and/or Windows environment.
- U.S. Citizen.

**Preferred:**

- None specified.

### **Benefits**

- Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, company-paid holidays, and paid time off (PTO) for vacation and/or personal business."
31,"### **Summary**

Proformance Roofing is seeking an IT Infrastructure Manager for the Construction Industry to join their team in Winter Garden, FL. The role involves overseeing and managing the company's internal IT infrastructure, ensuring seamless operations and security across all systems.

### **About the Role**

As an IT Infrastructure Manager, you will be responsible for managing the company's IT infrastructure, including hardware, software, networks, and security systems. Your daily tasks will include managing IT projects, ensuring data security, troubleshooting technical issues, developing IT policies, collaborating with vendors, and supporting software development initiatives.

### **About You**

**Required:**

- Bachelor's degree in Information Technology, Computer Science, or a related field.
- 5+ years of experience in IT management or a similar role.
- Basic knowledge of software development and coding (e.g., Python, JavaScript, SQL, or similar).
- Strong problem-solving skills with the ability to manage multiple projects simultaneously.
- Familiarity with network administration, cloud computing (e.g., AWS, Azure), and IT security best practices.
- Excellent communication and interpersonal skills to work effectively across teams.

**Preferred:**

- Certification in IT management or related fields (e.g., CompTIA, Microsoft, or ITIL).

### **Benefits**

- Salary Range: \$60,000-\$70,000.
- Comprehensive benefits package, including medical, dental, and vision insurance.
- 401(k) plan after just 3 months of employment.
- 10 days off in your first year, plus 9 paid holidays and a floating holiday to use as you choose."
32,"### **Summary**

Clockwork is seeking a Distributed Systems Engineer to join their team in Palo Alto, CA. The role involves contributing to the design, development, and deployment of next-generation time-sensitive applications in high-performance, scalable, and reliable systems.

### **About the Role**

As a Distributed Systems Engineer, you will be responsible for designing and implementing high-performance systems, collaborating with cross-functional teams, and staying informed about industry trends and emerging technologies. You will also contribute to research and development initiatives to enhance Clockwork's innovative solutions for real-time distributed systems.

### **About You**

**Required:**

- Relevant degree(s) in Computer Science, Electrical Engineering or related field.
- Proficiency in at least one of the following programming languages: C, C++, Golang, Java, Python.
- Strong communication and collaboration skills.
- Exceptional debugging and problem-solving abilities.

**Preferred:**

- Experience in the design and implementation of high-performance systems.
- Familiarity with collaboration in cross-functional teams.

### **Benefits**

- Full-time position with opportunities for professional growth and development."
33,"### **Summary**

NetApp is seeking an Automation Specialist to join their team in Durham, North Carolina. The role involves being part of a high-performing product development team that works on state-of-the-art storage solutions.

### **About the Role**

As an experienced Software Engineer in Test (SDET), you will be responsible for tailoring approaches to meet each customer's unique needs, combining fresh thinking with proven methods. You will work collaboratively with other teams to understand customer use cases and deliver innovative solutions.

### **About You**

**Required:**

- Experience as a Software Engineer in Test (SDET).
- Ability to work collaboratively with teams.

**Preferred:**

- Experience in product development for storage solutions.

### **Benefits**

- Full-time position."
34,"### **Summary**

Kismet is seeking an AI-Powered Innovation Leader to join their team in New York, NY. The role involves leveraging full-stack development skills to create scalable and user-centric web applications.

### **About the Role**

As an AI-Powered Innovation Leader, you will be responsible for building scalable, secure backend systems and developing seamless web applications. You will work with cross-functional teams to ensure exceptional user experiences through software craftsmanship.

### **About You**

**Required:**

- Professional experience in full-stack development: Expertise in Next.js, React, and TypeScript.
- Proven ability to build scalable, secure backend systems: Using NestJS or similar frameworks.
- Proficiency in relational databases: Preferably PostgreSQL, and ORMs like Prisma.
- Experience in web application development: With a focus on creating seamless, user-centric solutions.
- Knowledge of cloud platforms: Especially GCP.
- Familiarity with authentication systems: OAuth, SSO, and security best practices.
- A product-first mindset: With a passion for providing exceptional UX through software craftsmanship.
- Strong collaboration and communication skills: With experience working in cross-functional teams.

**Preferred:**

*(No preferred qualifications listed in the job description.)*

### **Benefits**

*(No benefits listed in the job description.)*"
35,"### **Summary**

GE Aerospace is seeking a Senior Staff Embedded Software Engineer to join their team in Evendale, OH. The role involves leading the design, implementation, and testing of embedded software for flight critical subsystems to support the safe operation of technology demonstrator vehicles.

### **About the Role**

As a Senior Staff Embedded Software Engineer, you will be responsible for:
- Leading the design, implementation, and testing of embedded software for flight critical subsystems.
- Implementing embedded engine software compliant with industry standards such as DO-178C.
- Testing embedded engine software in simulation and hardware in the loop environments.
- Gathering and translating customer requirements into executable product specifications.
- Configuring and controlling computer hardware and I/O boards in embedded systems.
- Executing laboratory and field validation testing and data acquisition.
- Providing technical leadership to cross-functional teams.
- Participating in technical and program reviews and ensuring proper documentation of technical data.

### **About You**

**Required:**

- Bachelor’s Degree in Engineering, Physics, Mathematics, or Computer Science from an accredited college or university.
- Minimum 5 years of experience in an embedded software role.
- US Person (Citizen, Green Card Holder).

**Preferred:**

- Familiarity with tools such as DOORs/ERM, SCADE, MATLAB, SIMULINK, and desktop simulation using NPSS.
- Experience with DO-178C and commercial aviation software certification.
- Embedded development experience using C/C++.
- Knowledge of networking protocols and digital communication protocols.
- Experience in real-time software development for embedded systems.
- Strong leadership and interpersonal skills.

### **Benefits**

Not provided."
36,"### **Summary**

Capital One is seeking a Senior Software Engineer, DevOps (Bank Tech) to join their team in Philadelphia, PA. The role involves collaborating with Agile teams to design, develop, and support technical solutions in a fast-paced environment.

### **About the Role**

As a Senior Software Engineer, DevOps, you will be responsible for collaborating with Agile teams to design, develop, test, implement, and support technical solutions using full-stack development tools and technologies. You will share your passion for technology trends, mentor other engineers, and work with digital product managers to deliver cloud-based solutions that empower millions of Americans financially. Your technical toolkit will include programming languages like Java, Python, SQL, Ruby, and Go, as well as container orchestration services like Docker and Kubernetes, and configuration management tools like Ansible and Terraform.

### **About You**

**Required:**

- Bachelor’s degree.
- At least 3 years of experience in DevOps Engineering (Internship experience does not apply).
- At least 2 years of experience with Cloud Native technologies (Amazon Web Services, Microsoft Azure, Google Cloud Platform).
- At least 2 years of Unix or Linux system administration experience.

**Preferred:**

- 2+ years of experience with Terraform or Ansible.
- 2+ years of experience with container orchestration services including Docker or Kubernetes.
- 2+ years of experience with coding and scripting (Python, SQL, Java, JavaScript, Golang, Bash, Perl, or Ruby).
- 2+ years of experience working with Agile Development Practices.

### **Benefits**

- Salaries for part-time roles will be prorated based upon the agreed upon number of hours to be regularly worked.
- Philadelphia, PA: \$144k–\$164k for Senior Software Engineer.
- Wilmington, DE: \$144k–\$164k for Senior Software Engineer.
- Candidates hired to work in other locations will be subject to the pay range associated with that location.
- This role is also eligible to earn performance-based incentive compensation, which may include cash bonuses and/or long-term incentives (LTI).
- Capital One offers a comprehensive, competitive, and inclusive set of health, financial, and other benefits that support your total well-being."
37,"### **Summary**

Antenna Research Associates is seeking an Embedded Software Development Expert to join their team in Billerica, MA. The role involves designing, developing, and implementing software solutions for embedded systems in a fast-paced environment.

### **About the Role**

As an Embedded Software Development Expert, you will be responsible for:
- Designing, developing, and implementing software solutions to meet project requirements, including coding, testing, debugging, and documentation.
- Collaborating with cross-functional teams to understand project requirements and translate them into technical specifications.
- Participating in the full software development lifecycle from requirements analysis and design to implementation, testing, deployment, and maintenance.
- Utilizing best practices and industry standards in software engineering to ensure high-quality, scalable, and maintainable software solutions.
- Staying updated on emerging technologies, trends, and best practices in software engineering and incorporating them into engineering processes and products.
- Conducting code reviews, providing constructive feedback, and contributing to continuous improvement initiatives to enhance team productivity and software quality.
- Supporting and maintaining existing software, troubleshooting technical issues, and implementing bug fixes and enhancements as needed.
- Creating modular and library-based designs to facilitate segmented testing, enhance testing efficacy, and precision.

### **About You**

**Required:**

- Bachelor's degree in computer science, electrical engineering, computer engineering, or related field.
- 2+ years of experience in software engineering roles with proficiency in embedded systems.
- Strong understanding of embedded systems architecture, hardware-software interfacing, and real-time constraints.
- Strong proficiency in C/C++ and experience with embedded development tools such as compilers, debuggers, and emulators.
- Knowledge of real-time operating systems (RTOS) and embedded Linux platforms.
- Ability to develop and deploy embedded Linux images for production hardware utilizing Yocto.
- Familiarity with serial protocols such as UART, SPI, I2C, CANBUS.
- Experience with performing low-level system debugging using tools such as oscilloscope, logic analyzer, etc.
- Comfortable reading schematics and understanding hardware specifications.
- Ability to write automated unit and integration tests for embedded hardware projects.
- Solid understanding of software engineering principles, design patterns, and best practices with the ability to design and develop scalable and maintainable software solutions.
- Ability to work in a fast-paced and dynamic environment with flexibility to adapt to changing project requirements and priorities.
- Willingness to learn and develop new skills as needed.
- Proven ability to work independently and as part of a team.
- Experience with Agile methodologies.

**Preferred:**

- None specified.

### **Benefits**

- None specified."
38,"### **Summary**

Capital One is seeking a Distributed Systems Software Engineering Manager to join their team in McLean, VA. The role involves overseeing the development and management of distributed systems software.

### **About the Role**

*No specific responsibilities listed.*

### **About You**

**Required:**

*No specific qualifications listed.*

**Preferred:**

*No specific qualifications listed.*

### **Benefits**

- Capital One offers a comprehensive benefits package that includes health, financial, and other perks.
- These benefits support your overall well-being and help you grow professionally.
- Learn more about our benefits program at the Capital One Careers website."
39,"### **Summary**

Henry Schein One is seeking a Vice President, Software Engineering to join their team in American Fork, UT. The role involves serving as the engineering leader for all North American applications and integrations, overseeing software engineering activities and teams, and ensuring the development and delivery of innovative software solutions.

### **About the Role**

As the Vice President of Software Engineering, you will be responsible for leading product software development, quality assurance, and collaborating on architecture, infosec, and deployment functions. You will direct the overall engineering effort to deliver new or enhanced products to market on schedule, champion modern software development approaches, and act as a customer champion. Additionally, you will formulate and implement software development programs, engage with internal and external stakeholders, and promote Team Schein values within the organization.

### **About You**

**Required:**

- 15+ years of progressive management and leadership experience in an executive-level engineering position.
- Bachelor’s degree or global equivalent in a related discipline.
- Experience leading cross-geography, global teams of 200+ full-time employees and 100+ nearshore and offshore resources.
- Experience with multiple products and software languages.
- Experience or knowledge of IT/Architecture/Security/Infrastructure.
- Experience in managing a budget of \$35-\$40 million USD.
- Deep technical knowledge and expertise.
- Excellent written and verbal communication skills.

**Preferred:**

- Master's Degree in a related discipline.

### **Benefits**

- The posted range for this position is \$255k–\$325k, which is the expected starting base salary range for an employee who is new to the role to fully proficient in the role.
- Competitive compensation.
- Excellent benefits package including medical, dental, and vision coverage, 401K Plan with Company Match, Paid Time Off (PTO), Paid Parental Leave, Short Term Disability, Work Life Assistance Program, Health Savings and Flexible Spending Accounts, Education Benefits, Worldwide Scholarship Program, Volunteer Opportunities, and more."
40,"### **Summary**

GrayMatter Robotics is seeking a Senior Software Engineering Manager to join their team in Carson, CA. The role involves leading the software development team, mentoring engineers, and developing customer-facing applications.

### **About the Role**

As a Senior Software Engineering Manager, you will be responsible for guiding and mentoring the software team, designing and improving APIs, and developing a customer-facing front-end application. Your daily tasks will include leading the team to foster collaboration and innovation, maintaining APIs for on-premise and cloud-based applications, and taking ownership of large-scale projects from concept to delivery.

### **About You**

**Required:**

- Bachelor's or Master's degree in software development or equivalent industry experience.
- Proven experience managing and mentoring engineering teams.
- Experience designing, launching, and versioning APIs.
- Proficiency in Python and AWS tooling.
- Experience in frontend development with TypeScript, JS, Node.js, React, or similar.

### **Benefits**

- The base salary range for this position is \$170k–\$200k plus equity.
- Comprehensive benefits and perks, including medical, dental, vision, unlimited PTO, 401(k) plan + employer match, regular offsite events, and a discretionary fund for enhancing productivity."
41,"### **Summary**

BAE Systems is seeking a Senior Principal Software Engineer to join their team in Manchester, NH. The role involves developing advanced software solutions for defense-related customers, focusing on areas such as Signals Intelligence, Aircraft Protection, and Electronic Warfare.

### **About the Role**

As a Senior Principal Software Engineer, you will be an integrated team member with leadership opportunities, collaborating with Systems, Hardware, and Test engineers throughout various phases of project planning, requirements development, design, development, integration, and testing. Your responsibilities will include analyzing, designing, coding, and modifying complex software designs primarily in C++, evaluating software designs for flaws, and ensuring effective communication among team members. This position requires full-time onsite work due to the nature of the role.

### **About You**

**Required:**

- Secret Security Clearance (active within the past two years).
- Bachelor's Degree in computer science, computer engineering, or related field, and a minimum of 8 years of work experience or equivalent experience.
- Background in real-time embedded software development.
- Strong C++ experience.
- Foundation in Object-Oriented design and implementation principles.
- Experience with software and systems engineering processes, methodologies, and tools.
- Experience performing software testing, validation, and verification activities.
- Ability to develop, lead, and motivate small technical teams.

**Preferred:**

- Full life-cycle software development.
- Software automated test development and execution.
- Software algorithm development.
- Agile Development experience.
- Software/Firmware interface definition.
- Requirements development.
- Master's Degree in Computer Science or Computer Engineering.

### **Benefits**

- Full-Time Salary Range: \$122870 - \$208890.
- Health, dental, and vision insurance; health savings accounts; a 401(k) savings plan; disability coverage; and life and accident insurance.
- Employee assistance program, legal plan, and discounts on home, auto, and pet insurance.
- Paid time off, paid holidays, and other types of leave including paid parental, military, and bereavement leave.
- Participation in the company recognition program for monetary or non-monetary awards."
42,"### **Summary**

Northrop Grumman is seeking a Principal Radar Software Engineer/Senior Principal Radar Software Engineer to join their team in Linthicum Heights, MD. The role involves developing, enhancing, and maintaining software on cutting-edge products and systems for mission systems.

### **About the Role**

As a Principal Radar Software Engineer/Senior Principal Radar Software Engineer, you will be an integral part of the Software and Digital Technologies Organization in Mission Systems Engineering. Your responsibilities will include working on software systems throughout all phases of the software development lifecycle, primarily in C/C++. You will utilize Model-based Engineering, DevSecOps, and Agile practices to deliver critical national defense products and capabilities.

### **About You**

**Required:**

- Bachelor’s Degree with 5 years of experience, Master’s degree with 3 years of experience, or Ph.D. with 1 year of experience in Science, Technology, Engineering, Mathematics, or related technical fields; an additional 4 years of experience may be considered in lieu of a degree.
- U.S. Citizenship is required.
- Ability to obtain and maintain a DoD Secret Clearance prior to starting.
- Experience working in C and C++.
- Proficiency in working with real-time embedded software.
- Experience with VxWorks and/or Linux Operating Systems.
- Familiarity or prior experience with RF Signal processing.
- Willing and able to provide leadership and guidance to less experienced engineers.

**Preferred:**

- A current/active DoD Secret clearance.
- Advanced degrees in Science, Technology, Engineering, Mathematics, or a related technical field.
- Knowledge of Radar, Electronic Warfare, or Space technologies.
- Experience with test equipment for radar and electronic warfare systems.
- Experience with Coverity, JIRA, and BitBucket.

### **Benefits**

- Health Plan, Savings Plan, Paid Time Off, and additional benefits including Education Assistance, Training and Development, and a 9/80 Work Schedule (where available).
- Salary Range: \$105k–\$158k.
- Salary Range 2: \$131k–\$197k.
- Employees may be eligible for a discretionary bonus in addition to base pay."
43,"### **Summary**

Mujin is seeking a Robotics Software Engineer - Integration to join their team in Suwanee, GA. The role involves collaborating with software development and integration teams to solve technical problems and deliver solutions in industrial robotic systems.

### **About the Role**

As a Robotics Software Engineer - Integration, you will be part of the product development team, supporting the development, configuration, testing, and troubleshooting of critical components of the Mujin system. Your responsibilities will include providing remote and onsite support for integration engineers, automating integration workflows, developing software tool suites, creating documentation, analyzing system performance, and resolving integration-related issues.

### **About You**

**Required:**

- Bachelor’s degree in Computer Science, Robotics, or Computer Engineering; Master’s preferred.
- Minimum of two years of experience in:
  - Software configuration and deployment.
  - Coding in C++, Python, and other languages using Linux.
  - Generating advanced physics models related to hardware.
  - Performing reliability and validation testing related to software.
  - Working with real-time computing technologies, including RTOS, Linux kernel module development, EtherCAT, or similar systems.
- Willingness to travel 75% of the year for onsite support.

**Preferred:**

- Experience in advanced robotics and automation technologies.

### **Benefits**

- Opportunity to work with cutting-edge robotics technology.
- Engage with leaders in the robotics space."
44,"### **Summary**

Cadence is seeking a Senior Principal C++ Software Engineer for the Protium Prototyping Platform Compiler to join their team in San Jose, CA, United States. The role involves designing and developing new features in the compiler and contributing to algorithmic software development for FPGAs.

### **About the Role**

As a Senior Principal C++ Software Engineer, you will be responsible for:
- Designing and developing new features in the compiler of the Protium Prototyping Platform.
- Joining the Hardware Verification Research and Development team to contribute to algorithmic software development for FPGAs.
- Working with a team to provide breakthrough solutions in the multi FPGA prototyping space.

### **About You**

**Required:**

- Bachelor's degree in Electrical Engineering, Computer Engineering, Computer Science, or equivalent with a minimum of 10 years of experience OR Master's with a minimum of 7 years of experience OR PhD with a minimum of 5 years of experience.
- 6-10 years in software development or major personal projects or academic work.
- Strong CS fundamentals background in data structures, algorithms, systems architecture, and/or databases.
- Expert in C++, gdb debugging, and general software development skills.
- Strong desire and ability to work in a fast-paced startup environment.
- Expert in STA, Synthesis, or QOR improvement techniques in the FPGA prototyping or EDA field.

**Preferred:**

- Multiple avenues of learning and development available for employees to explore as per their specific requirements and interests.

### **Benefits**

- The opportunity to work on cutting-edge technology in an environment that encourages creativity, innovation, and impact.
- Work with a diverse team of passionate, dedicated, and talented individuals who go above and beyond for customers, communities, and each other every day.

**Salary:** \$195k–\$215k"
45,"### **Summary**

Snap Inc. is seeking a Staff Software Engineer for Machine Learning Infrastructure to join their team in Los Angeles, CA. The role involves building scalable, reproducible, and easy-to-use end-to-end machine learning workflows for advanced deep learning problems.

### **About the Role**

As a Staff Software Engineer, Machine Learning Infrastructure, you will be responsible for developing machine learning workflows that are scalable and reproducible. Your work will focus on advanced deep learning problems, requiring collaboration with various teams to ensure the systems are highly available and operate at significant scale.

### **About You**

**Required:**

- Bachelor's degree in a technical field such as computer science or equivalent experience.
- 9+ years of industry software engineering experience.
- Experience building large-scale production machine learning systems or data pipelines.
- Experience with backend services or distributed systems.
- Knowledge of machine learning frameworks such as TensorFlow, Caffe2, PyTorch, Spark ML, scikit-learn, or related frameworks.

**Preferred:**

- Proven track record of operating highly-available systems at significant scale.
- Ability to collaborate and work well with others.
- Passion for Snapchat and creativity.

### **Benefits**

- (No benefits listed in the job description)"
46,"### **Summary**

Waymo is seeking a Python Software Engineer for Autonomous Vehicle Simulation to join their team in Mountain View, CA. The role involves designing, implementing, and operating scalable simulation data pipelines to evaluate the driving capability of their autonomous vehicle.

### **About the Role**

As a Python Software Engineer for Autonomous Vehicle Simulation, you will be responsible for developing and maintaining simulation data pipelines to ensure accurate evaluation of the autonomous vehicle's capabilities. Your daily tasks will include improving signal quality and individual simulations, determining the predictive value of simulation results in real-world driving scenarios, and applying machine learning models to optimize simulation efficiency.

### **About You**

**Required:**

- 2+ years of full-time software engineering experience or a quantitative PhD with professional software engineering experience.
- C++ basic competency.
- Python basic competency.
- SQL basic competency.
- 1 year of industry experience in a quantitative or quality-focused engineering role.
- Bachelor's degree in Computer Science.

### **Benefits**

- Competitive salary range for this position is \$180k–\$220k per year.
- Actual starting pay will be based on job-related factors."
47,"### **Summary**

Radian is seeking a Principal Software Engineer, Generative AI Application to join their team in a 100% remote capacity. The role involves developing high-quality software solutions utilizing generative AI technologies to enhance Radian's products and services.

### **About the Role**

As a Principal Software Engineer – Generative AI Application, you will be responsible for delivering secure and performant code, developing features and improvements using generative AI technologies, and collaborating with various stakeholders to iterate on new features. You will also mentor team members, communicate complex technical issues, and propose architectural changes to improve performance and scalability.

### **About You**

**Required:**

- Bachelor's Degree or Equivalent Experience.
- 5 years of prior work-related experience.
- Professional experience with React, Node.js, Python, JavaScript/TypeScript, C#, and Java.
- Experience with designing and implementing web applications and consuming RESTful APIs in AWS/Azure.
- Deep understanding of Python development and its best practices.
- Experience with LLM tools and frameworks such as OpenAI, Claude, and LangChain.
- Proficiency in working with RDBMS and No-SQL databases.
- Understanding of DevOps processes and technologies like Serverless, containers, and Kubernetes.

**Preferred:**

- Experience with the machine learning process of retrieval-augmented generation (RAG), fine-tuning, and MLOps.
- Proficiency in working with vector databases.
- Solid understanding of foundation models, custom model training, and lifecycle management.
- Experience with performance and optimization problems.

### **Benefits**

- Competitive compensation: anticipated base salary rate from \$133k to \$190k based on skills and experience.
- 25 days of paid time off annually, plus 9 paid holidays and 2 floating holidays.
- Comprehensive health benefits including multiple medical plan choices, dental, vision, and basic life insurance.
- 401(k) with a top market company match and immediate vesting.
- Homebuyer Perks program to assist employees in navigating home ownership processes."
48,"### **Summary**

Collins Aerospace is seeking an Embedded Software Engineer I to join their team in Aguadilla, Puerto Rico. The role involves developing real-time embedded software to support GPS Receivers product lines.

### **About the Role**

As an Embedded Software Engineer I, you will be responsible for designing, developing, and maintaining software applications using C/C++ and Java. Your daily tasks will include collaborating with cross-functional teams, troubleshooting and optimizing existing code, writing comprehensive documentation, participating in code reviews, and staying current with industry trends in software technologies.

### **About You**

**Required:**

- Typically requires a degree in Science, Technology, Engineering or Mathematics (STEM) unless prohibited by local laws/regulations and less than 2 years prior relevant experience.
- Demonstrated professional experience communicating in English (verbal and written).
- U.S. citizenship is required, as only U.S. citizens are authorized to access information under this program/contract.
- Must have or be capable of obtaining/maintaining an active U.S. Government security clearance at the Secret level or higher.

**Preferred:**

- Experience developing embedded software utilizing C, C++, Ada or related languages.
- Experience investigating, troubleshooting and fixing software issues.
- Familiarity with Agile lifecycle process including Scrum, Continuous Integration, Static Code Analysis using Coverity or equivalent, Unit Test using VectorCast or equivalent, Test-Driven Methodologies and DO-178.
- Experience developing and integrating real-time embedded software.
- Knowledge of GPS software architecture including cryptographic, system integrity and security domains separation, area navigation, and GPS ICDs is a Plus.

### **Benefits**

- Medical, dental, and vision insurance.
- Three weeks of vacation for newly hired employees.
- Generous 401(k) plan that includes employer matching funds.
- Participation in the Employee Scholar Program (ESP).
- Life insurance and disability coverage.
- Employee Assistance Plan, including up to 8 free counseling sessions."
49,"### **Summary**

CRG is seeking a Technical Solutions Architect to join their team in Charlotte, NC. The role involves driving sustainable solutions and maturing IT processes for a global Fortune 500 food service provider.

### **About the Role**

As a Technical Solutions Architect, you will be responsible for aligning solution architecture with enterprise strategy, fostering innovation, understanding functionality requirements, developing process improvements, reviewing code changes, mentoring team members, and assisting in troubleshooting and implementing software development lifecycle practices.

### **About You**

**Required:**

- 4+ years of experience as a solution architect or equivalent role.
- Bachelor's degree or equivalent experience.
- Excellent analytical, organizational, critical thinking, and problem-solving skills.
- Good communication skills for presentations, documents, and emails.
- Ability to work independently and in a team environment.

**Preferred:**

- Experience creating Android mobile applications.
- Experience working with APIs.
- Agile/Scrum environment experience.
- Microsoft Azure DevOps experience.

### **Benefits**

- Competitive pay of \$70+ per hour with a 6-month contract-to-hire arrangement."
50,"### **Summary**

Delmock Technologies is seeking a Software Engineer - Spring Boot Expert to join their team in Lanham, MD. The role involves designing and developing MeF components using various technologies including Spring Framework and AWS EKS.

### **About the Role**

As a Software Engineer - Spring Boot Expert, you will be responsible for designing and developing MeF components using Spring Framework, JAX-RS, SOAP/JMS Web Services, JPA/Hibernate, Distributed Transaction Management, AWS EKS, and Redhat OpenShift. You will work in a remote environment and must have an active IRS MBI or Public Trust clearance.

### **About You**

**Required:**

- AN ACTIVE IRS MBI OR PUBLIC TRUST CLEARANCE IS REQUIRED TO BE CONSIDERED FOR THIS POSITION.
- Strong background in Java/JEE development.
- Experience with Spring Framework, JAX-RS, SOAP/JMS Web Services, JPA/Hibernate, Distributed Transaction Management, AWS EKS, and Redhat OpenShift.

**Preferred:**

- Experience working with Kubernetes, Docker, and Red Hat OpenShift Container platform.

### **Benefits**

Not provided."
